,AIRPORT_NAME,COUNTY,AIRPORT_ELEVATION,COUNTRY_REGION,MUNICIPALITY,AIRPORT_CODE,COORDINATES
223,Utirik Airport,MH,4.0,MH-UTI,Utirik Island,UTK,"169.852005, 11.222"
440,Ocean Reef Club Airport,US,8.0,US-FL,Key Largo,OCA,"-80.274803161621, 25.325399398804"
594,Pilot Station Airport,US,305.0,US-AK,Pilot Station,PQS,"-162.899994, 61.934601"
673,Crested Butte Airpark,US,8980.0,US-CO,Crested Butte,CSE,"-106.928341, 38.851918"
1088,LBJ Ranch Airport,US,1515.0,US-TX,Johnson City,JCY,"-98.62249755859999, 30.251800537100003"
1402,Metropolitan Airport,US,418.0,US-MA,Palmer,PMX,"-72.31140136719999, 42.223300933800004"
1438,Loring Seaplane Base,US,0.0,US-AK,Loring,WLR,"-131.636993408, 55.6012992859"
1555,Nunapitchuk Airport,US,12.0,US-AK,Nunapitchuk,NUP,"-162.440454, 60.905591"
1574,Port Alice Seaplane Base,US,0.0,US-AK,Port Alice,PTC,"-133.597, 55.803"
1722,Icy Bay Airport,US,50.0,US-AK,Icy Bay,ICY,"-141.662002563, 59.96900177"
1759,Port Protection Seaplane Base,US,0.0,US-AK,Port Protection,PPV,"-133.61000061035, 56.328800201416"
1985,Kalakaket Creek AS Airport,US,1598.0,US-AK,Kalakaket Creek,KKK,"-156.820392609, 64.4166256967"
2171,Dunsmuir Muni-Mott Airport,US,3258.0,US-CA,Dunsmuir,MHS,"-122.272003, 41.263199"
2362,Chase Field Industrial Airport,US,190.0,US-TX,Beeville,NIR,"-97.661917, 28.362444"
2383,Grand Canyon Bar Ten Airstrip,US,4100.0,US-AZ,Whitmore,GCT,"-113.231003, 36.259701"
2384,Ellamar Seaplane Base,US,0.0,US-AK,Ellamar,ELW,"-146.704038, 60.893818"
2969,Lime Village Airport,US,552.0,US-AK,Lime Village,LVD,"-155.440002441, 61.3591003418"
2976,Hog River Airport,US,534.0,US-AK,Hogatza,HGZ,"-155.6690063, 66.2161026"
3144,Ed-Air Airport,US,426.0,US-IN,Oaktown,OTN,"-87.4997024536, 38.851398468"
3196,Telida Airport,US,650.0,US-AK,Telida,TLF,"-153.26899719238, 63.393901824951"
3510,Eagle Air Park,US,15.0,US-TX,Brazoria,BZT,"-95.579696655273, 28.982200622559"
3645,Entrance Island Seaplane Base,US,0.0,US-AK,Entrance Island,HBH,"-133.43848, 57.412201"
3649,False Island Seaplane Base,US,,US-AK,False Island,FAK,"-135.212997437, 57.5321998596"
4092,Blakely Island Airport,US,66.0,US-WA,Blakely Island,BYW,"-122.825996399, 48.578998565700005"
4155,Drift River Airport,US,30.0,US-AK,Kenai,DRF,"-152.162002563, 60.588901519800004"
4331,Rinkenberger Restricted Landing Area,US,808.0,US-IL,Bradford,BDF,"-89.61569976810001, 41.230899810800004"
4675,Roy Otten Memorial Airfield,US,1030.0,US-MO,Versailles,VRS,"-92.875198364258, 38.427799224854"
4734,Golden Horn Lodge Seaplane Base,US,91.0,US-AK,Golden Horn Lodge,GDH,"-158.875, 59.7470016479"
5207,Atmautluak Airport,US,17.0,US-AK,Atmautluak,ATT,"-162.272995, 60.866699"
5210,Livengood Camp Airport,US,425.0,US-AK,Livengood,LIV,"-148.6534, 65.467"
5379,Pedro Bay Airport,US,45.0,US-AK,Pedro Bay,PDB,"-154.12399292, 59.7896003723"
5380,Ouzinkie Airport,US,55.0,US-AK,Ouzinkie,KOZ,"-152.496715, 57.925362"
5381,Tununak Airport,US,14.0,US-AK,Tununak,TNK,"-165.27200317383, 60.575500488281"
5637,Ben Bruce Memorial Airpark,US,44.0,US-TX,Evadale,EVA,"-94.07350158690001, 30.3209991455"
5739,Hyder Seaplane Base,US,,US-AK,Hyder,WHD,"-130.009975, 55.903324"
6064,Tokeen Seaplane Base,US,,US-AK,Tokeen,TKI,"-133.32699585, 55.9370994568"
6200,Aleknagik / New Airport,US,66.0,US-AK,Aleknagik,WKK,"-158.617996216, 59.2826004028"
6394,Ketchikan Harbor Seaplane Base,US,,US-AK,Ketchikan,WFB,"-131.677002, 55.349899"
6535,Naknek Airport,US,70.0,US-AK,Naknek,NNK,"-157.02000427246, 58.732898712158"
6743,Lake Brooks Seaplane Base,US,36.0,US-AK,Katmai National Park,BKF,"-155.77699279785, 58.554798126221"
6993,Southern Seaplane Airport,US,,US-LA,Belle Chasse,BCS,"-90.0222015381, 29.8661003113"
7235,Catalina Air-Sea Terminal Heliport,US,5.0,US-CA,San Pedro,SPQ,"-118.275001526, 33.7491989136"
7443,East 34th Street Heliport,US,10.0,US-NY,New York,TSS,"-73.97209930419922, 40.74259948730469"
7445,New York Skyports Inc Seaplane Base,US,,US-NY,New York,QNY,"-73.9729, 40.734001"
7524,Earl Henry Airport,US,1054.0,US-OK,Blackwell,BWL,"-97.3170013428, 36.7958984375"
8055,Yes Bay Lodge Seaplane Base,US,,US-AK,Yes Bay,WYB,"-131.800994873, 55.9163017273"
8081,Center Island Airport,US,115.0,US-WA,Center Island,CWS,"-122.832000732, 48.4901008606"
8281,Tatitlek Airport,US,62.0,US-AK,Tatitlek,TEK,"-146.690297, 60.871449"
8380,Pine Island Airport,US,16.0,US-NC,Corolla,DUF,"-75.7884979248, 36.2535018921"
8570,Stuart Island Airpark,US,10.0,US-WA,Stuart Island,SSW,"-123.17600250244, 48.672901153564"
8691,Fort Bragg Airport,US,71.0,US-CA,Fort Bragg,FOB,"-123.79599762, 39.4743003845"
8755,Port of Poulsbo Marina Moorage Seaplane Base,US,0.0,US-WA,Poulsbo,PUL,"-122.64700317383, 47.734001159668"
8770,Century City Heliport,US,473.0,US-CA,Los Angeles,CCD,"-118.417999268, 34.060798645"
8780,Meyers Chuck Seaplane Base,US,0.0,US-AK,Meyers Chuck,WMK,"-132.255004883, 55.7396011353"
8990,Maxson Airfield,US,340.0,US-NY,Alexandria Bay,AXB,"-75.90034, 44.312002"
9456,Reese Airpark,US,3338.0,US-TX,Lubbock,REE,"-102.03700256348, 33.590301513672"
9495,Waldron Airport,US,140.0,US-WA,East Sound,WDN,"-123.017998, 48.7118"
9730,Whale Pass Seaplane Float Harbor Facility,US,0.0,US-AK,Whale Pass,WWP,"-133.121994, 56.116299"
9876,Chuathbaluk Airport,US,244.0,US-AK,Chuathbaluk,CHU,"-159.216003, 61.579102"
9877,Ugashik Airport,US,25.0,US-AK,Ugashik,UGS,"-157.399002075, 57.5279006958"
9904,Marlboro Airport,US,285.0,US-MA,Marlboro,MXG,"-71.509002, 42.343201"
10094,Philadelphia Seaplane Base,US,0.0,US-PA,Essington,PSQ,"-75.299598693848, 39.859001159668"
10338,Levelock Airport,US,39.0,US-AK,Levelock,KLL,"-156.85899353, 59.128101348899996"
10342,Saginaw Seaplane Base,US,0.0,US-AK,Saginaw Bay,SGW,"-134.158004761, 56.8862991333"
10350,Tuntutuliak Airport,US,16.0,US-AK,Tuntutuliak,WTL,"-162.667007446, 60.3353004456"
10351,Twin Hills Airport,US,82.0,US-AK,Twin Hills,TWA,"-160.27299499512, 59.07559967041"
10357,Chignik Lake Airport,US,50.0,US-AK,Chignik Lake,KCQ,"-158.774993896, 56.2550010681"
10384,Adado Airport,SO,1001.0,SO-GA,Adado,AAD,"46.6375, 6.095802"
10388,Atkamba Airport,PG,150.0,PG-WPD,Atkamba Mission,ABP,"141.095277778, -6.0655555555600005"
10389,Abau Airport,PG,10.0,PG-CPM,Abau,ABW,"148.7389, -10.1956"
10391,Andorra la Vella Heliport,AD,3450.0,AD-07,Andorra La Vella,ALV,"1.533551, 42.511174"
10392,Andakombe Airport,PG,3600.0,PG-EHG,Andekombe,ADC,"145.744722222, -7.13722222222"
10394,El Daein Airport,SD,1560.0,SD-DE,El Daein,ADV,"26.1186, 11.4023"
10400,Jebel Ali Seaplane Base,AE,0.0,AE-DU,Jebel Ali,DJH,"55.023796, 24.988967"
10420,Adareil Airport,SS,1301.0,SS-23,,AEE,"32.9594444444, 10.0536111111"
10421,Algeciras Heliport,ES,98.0,ES-CA,Algeciras,AEI,"-5.441118, 36.12888"
10422,Aseki Airport,PG,4106.0,PG-MPL,Aseki,AEK,"146.19386673, -7.35080485552"
10423,Ar Horqin Airport,CN,1335.0,CN-15,Chifeng,AEQ,"120.15958, 43.87042"
10434,OrÅ«zgÄn Airport,AF,6725.0,AF-ORU,OrÅ«zgÄn,URZ,"66.630897522, 32.9029998779"
10435,Salerno Airport,AF,3780.0,AF-KHO,Khost,OLR,"69.9561, 33.3638"
10440,Kondavattavana Tank Seaplane Base,LK,95.0,LK-5,Ampara,AFK,"81.644, 7.284"
10441,Afore Airstrip,PG,2500.0,PG-NPP,,AFR,"148.390833333, -9.142222222220001"
10442,Afutara Aerodrome,SB,23.0,SB-ML,Bila,AFT,"160.948611111, -9.19138888889"
10443,Ulawa Airport,SB,40.0,SB-MK,Arona,RNA,"161.979546547, -9.86054358262"
10444,Uru Harbour Airport,SB,,SB-ML,Atoifi,ATD,"161.011002, -8.87333"
10445,Barakoma Airport,SB,,SB-WE,Barakoma,VEV,"156.70599365234375, -7.912779808044434"
10446,Geva Airport,SB,,SB-WE,Liangia,GEF,"156.5970001220703, -7.575829982757568"
10447,Angoram Airport,PG,75.0,PG-ESW,Angoram,AGG,"144.073888889, -4.05583333333"
10448,Gwaunaru'u Airport,SB,5.0,SB-ML,Auki,AKS,"160.682007, -8.70257"
10449,Bellona/Anua Airport,SB,60.0,SB-RB,Anua,BNY,"159.798333333, -11.302222222200001"
10450,Choiseul Bay Airport,SB,,SB-CH,,CHY,"156.396111, -6.711944"
10451,Ballalae Airport,SB,5.0,SB-WE,Ballalae,BAS,"155.886656, -6.990745"
10452,Fera/Maringe Airport,SB,,SB-IS,Fera Island,FRE,"159.576996, -8.1075"
10453,Honiara International Airport,SB,28.0,SB-CT,Honiara,HIR,"160.05499267578, -9.4280004501343"
10454,Babanakira Airport,SB,,SB-GU,Mbambanakira,MBU,"159.83900451660156, -9.7475004196167"
10455,Avu Avu Airport,SB,25.0,SB-GU,,AVU,"160.410555556, -9.86833333333"
10456,Ngorangora Airport,SB,54.0,SB-MK,Kirakira,IRA,"161.897994995, -10.449700355500001"
10457,Santa Cruz/Graciosa Bay/Luova Airport,SB,18.0,SB-TE,Santa Cruz/Graciosa Bay/Luova,SCZ,"165.7949981689453, -10.72029972076416"
10458,Munda Airport,SB,10.0,SB-WE,,MUA,"157.26300048828125, -8.327969551086426"
10459,Nusatupe Airport,SB,13.0,SB-WE,Gizo,GZO,"156.863998413, -8.09778022766"
10460,Mono Airport,SB,,SB-WE,Stirling Island,MNY,"155.56500244140625, -7.416940212249756"
10461,Parasi Airport,SB,,SB-ML,Parasi,PRS,"161.4250030517578, -9.641670227050781"
10462,Ontong Java Atoll Airstrip,SB,10.0,SB-ML,Ontong Java Atoll,OTV,"159.527778, -5.515"
10463,Rennell/Tingoa Airport,SB,,SB-RB,Rennell Island,RNL,"160.06300354003906, -11.533900260925293"
10464,Sege Airport,SB,,SB-WE,Sege,EGM,"157.87600708007812, -8.578889846801758"
10465,Santa Ana Airport,SB,3.0,SB-MK,Santa Ana Island,NNB,"162.454108, -10.847994"
10466,Marau Airport,SB,,SB-GU,Marau,RUS,"160.824996948, -9.861669540409999"
10467,Suavanao Airport,SB,,SB-IS,Suavanao,VAO,"158.7310028076172, -7.585559844970703"
10468,Yandina Airport,SB,60.0,SB-CE,Yandina,XYA,"159.21841, -9.092816"
10470,Kagua Airport,PG,5350.0,PG-SHM,Kagua,AGK,"143.853611111, -6.396388888890001"
10471,Kaghau Airport,SB,30.0,SB-CH,Kagau Island,KGE,"157.585, -7.3305"
10472,Kukudu Airport,SB,32.0,SB-WE,Kolombangara Island,KUE,"156.94783, -8.0262"
10473,Kwailabesi Airport,SB,52.0,SB-ML,Kwailabesi,KWS,"160.775127, -8.360508"
10474,Wanigela Airport,PG,53.0,PG-NPP,,AGL,"149.155555556, -9.3375"
10475,Nana Airport,SB,60.0,SB-MK,Star Harbor,NAZ,"162.2049, -10.6758"
10476,Ringi Cove Airport,SB,,SB-WE,Ringi Cove,RIN,"157.14300537109375, -8.12639045715332"
10477,Ramata Airport,SB,,SB-WE,Ramata,RBV,"157.64300537109375, -8.168060302734375"
10478,Tulaghi Heliport,SB,3.0,SB-CE,Tulaghi Island,TLG,"160.149166667, -9.108"
10479,Argyle Downs Airport,AU,407.0,AU-WA,Argyle Downs,AGY,"128.9245, -16.514"
10480,Hongyuan Airport,CN,11600.0,CN-51,Aba,AHJ,"102.35224, 32.53154"
10481,Amchitka Army Airfield,US,215.0,US-AK,Amchitka Island,AHT,"179.259166667, 51.3777777778"
10482,Ambatolhy Airport,MG,340.0,MG-U,Ambatolahy,AHY,"45.535, -20.015833333299998"
10483,Aiome Airport,PG,350.0,PG-MPM,Aiome,AIE,"144.7307003, -5.145699978"
10484,Aiambak Airport,PG,90.0,PG-WPD,Aiambak,AIH,"141.2675, -7.342777777779999"
10485,Ailinglaplap Airok Airport,MH,16.0,MH-ALL,Bigatyelang Island,AIC,"168.8257, 7.279422"
10500,Chena Hot Springs Airport,US,1195.0,US-AK,Chena Hot Springs,CEX,"-146.04699707, 65.0518035889"
10511,Solomon State Field,US,25.0,US-AK,Solomon,SOL,"-164.4457, 64.5605"
10518,Herendeen Bay Airport,US,20.0,US-AK,Herendeen Bay,HED,"-160.899002075, 55.801399231"
10534,Taylor Airport,US,440.0,US-AK,Taylor,TWE,"-164.798995972, 65.6792984009"
10542,Tikchik Lodge Seaplane Base,US,304.0,US-AK,Tikchik,KTH,"-158.477005005, 59.9631996155"
10548,Naukati Bay Seaplane Base,US,,US-AK,Tuxekan Island,NKI,"-133.227994, 55.849602"
10556,Lonely Air Station,US,17.0,US-AK,Lonely,LNI,"-153.2420044, 70.91069794"
10560,Candle 2 Airport,US,15.0,US-AK,Candle,CDL,"-161.925994873, 65.907699585"
10566,Amook Bay Seaplane Base,US,,US-AK,Amook Bay,AOS,"-153.815002441, 57.4715003967"
10581,Bartletts Airport,US,50.0,US-AK,Egegik,BSZ,"-157.352005005, 58.2162017822"
10582,Boswell Bay Airport,US,230.0,US-AK,Boswell Bay,BSW,"-146.145996094, 60.4230995178"
10585,Zakuoma Airport,TD,1370.0,TD-SA,ZaKouma,AKM,"19.8172222222, 10.8902777778"
10661,Sharpe Field,US,253.0,US-AL,Tuskegee,TGE,"-85.7755966187, 32.4919013977"
10688,Alitak Seaplane Base,US,,US-AK,Lazy Bay,ALZ,"-154.248001099, 56.8995018005"
10696,Mar de CortÃ©s International Airport,MX,71.0,MX-SON,Puerto PeÃ±asco,PPE,"-113.305177, 31.351987"
10697,Alto Molocue Airport,MZ,1950.0,MZ-Q,Alto Molocue,AME,"37.6813888889, -15.6102777778"
10698,Ama Airport,PG,145.0,PG-ESW,,AMF,"141.67, -4.10111111111"
10699,Amanab Airport,PG,1307.0,PG-SAN,Amanab,AMU,"141.214333333, -3.586"
10700,Ambatomainty Airport,MG,1025.0,MG-M,,AMY,"45.623888888900005, -17.6866666667"
10703,Anuha Island Resort Airport,SB,22.0,SB-CE,Anhua Island,ANH,"160.225, -9.00138888889"
10704,Nauru International Airport,NR,22.0,NR-14,Yaren District,INU,"166.919006, -0.547458"
10705,Angus Downs Airport,AU,1724.0,AU-NT,Angus Downs Station,ANZ,"132.2748, -25.0325"
10710,Andulo Airport,AO,,AO-BIE,,ANL,"16.710899353, -11.472299575800001"
10758,Cangamba Airport,AO,3894.0,AO-MOX,Cangamba,CNZ,"19.861099, -13.7106"
10759,Dirico Airport,AO,3504.0,AO-CCU,Dirico,DRC,"20.7680606842041, -17.981924057006836"
10760,Lumbala Airport,AO,3510.0,AO-MOX,Lumbala,GGC,"22.5868206024, -12.6398773193"
10761,Jamba Airport,AO,4912.0,AO-HUA,Jamba,JMB,"16.070148468017578, -14.698192596435547"
10762,Capanda Airport,AO,3366.0,AO-MAL,Capanda,KNP,"15.4553194046, -9.76937007904"
10763,Ndalatandos Airport,AO,2684.0,AO-CNO,Ndalatandos,NDF,"14.977242469787598, -9.275188446044922"
10764,Aroa Airport,PG,20.0,PG-CPM,Agevairu,AOA,"146.8, -9.0254"
10765,Annanberg Airport,PG,130.0,PG-MPM,,AOB,"144.635833333, -4.90416666667"
10766,Abou-DeÃ¯a Airport,TD,1592.0,TD-SA,Abou-DeÃ¯a,AOD,"19.2874, 11.4773"
10767,Asapa Airport,PG,1930.0,PG-NPP,,APP,"148.103611111, -8.97916666667"
10768,April River Airport,PG,220.0,PG-ESW,April River,APR,"142.540138889, -4.67666666667"
10773,Girdwood Airport,US,150.0,US-AK,Girdwood,AQY,"-149.126007, 60.966099"
10778,Bragado Airport,AR,196.0,AR-B,Bragado,QRF,"-60.4803, -35.144"
10779,Caleta Olivia Airport,AR,37.0,AR-Z,Caleta Olivia,CVI,"-67.5186004639, -46.4318008423"
10781,Charata Airport,AR,318.0,AR-H,Charata,CNT,"-61.2103, -27.2164"
10782,General Villegas Airport,AR,383.0,AR-B,General Villegas,VGS,"-63, -35"
10783,Los Menucos Airport,AR,2571.0,AR-R,Los Menucos,LMD,"-68.074699, -40.817699"
10787,Saenz PeÃ±a Airport,AR,20.0,AR-H,Presidencia Roque SÃ¡enz PeÃ±a,SZQ,"-60.448299407958984, -26.815799713134766"
10789,Valcheta Airport,AR,629.0,AR-R,Valcheta,VCF,"-66.1500015259, -40.7000007629"
11118,Sunchales Aeroclub Airport,AR,311.0,AR-S,Sunchales,NCJ,"-61.5283, -30.9575"
11162,Carmen De Patagones Airport,AR,131.0,AR-B,Carmen de Patagones,CPG,"-62.9803, -40.7781"
11234,Termal Airport,AR,308.0,AR-H,Presidencia Roque SÃ¡enz PeÃ±a,PRQ,"-60.492222, -26.753611"
11266,Colonia Sarmiento Airport,AR,877.0,AR-U,Sarmiento,OLN,"-68.999841, -45.582371"
11506,Aragip Airport,PG,1750.0,PG-MBA,,ARP,"149.483333333, -9.88333333333"
11507,Asbury Park Neptune Air Terminal,US,95.0,US-NJ,Asbury Park,ARX,"-74.0908333333, 40.2193055556"
11508,Tau Airport,AS,185.0,AS-U-A,Tau Village,TAV,"-169.511001587, -14.2292003632"
11510,Asirim Airport,PG,1050.0,PG-WBK,,ASZ,"150.368611111, -6.009722222220001"
11520,Namatanai Airport,PG,150.0,PG-NIK,Namatanai,ATN,"152.438, -3.6695"
11521,Aitape Airport,PG,10.0,PG-SAN,Aitape,ATP,"142.346805556, -3.1436111111100002"
11602,Lady Elliot Island Airstrip,AU,20.0,AU-QLD,Lady Elliot Island,LYT,"152.7156, -24.1129"
11637,Agnew Airport,AU,,AU-QLD,Agnew,AGW,"142.1490020751953, -12.145600318908691"
11638,Alroy Downs Airport,AU,,AU-NT,Alroy Downs,AYD,"136.07899475097656, -19.290800094604492"
11639,Baniyala Airport,AU,20.0,AU-NT,Baniyala,BYX,"136.227005005, -13.19810009"
11640,Coolibah Airport,AU,,AU-NT,Coolibah,COB,"130.96200561523438, -15.548299789428711"
11641,Coorabie Airport,AU,,AU-SA,Coorabie,CRJ,"132.29600524902344, -31.894399642944336"
11642,Carlton Hill Airport,AU,,AU-WA,Carlton Hill,CRY,"128.53399658203125, -15.501899719238281"
11643,Cresswell Downs Airport,AU,,AU-NT,Cresswell Downs,CSD,"135.91600036621094, -17.947999954223633"
11644,Diamantina Lakes Airport,AU,,AU-QLD,Diamantina Lakes,DYM,"141.14500427246094, -23.761699676513672"
11645,Hayman Island Resort Seaplane Base,AU,,AU-QLD,Hayman Island,HIS,"148.88099670410156, -20.059999465942383"
11646,Helenvale Airport,AU,,AU-QLD,Helenvale,HLV,"145.21499633789062, -15.685799598693848"
11647,Kimberley Downs Airport,AU,,AU-WA,Kimberley Downs,KBD,"124.3550033569336, -17.39780044555664"
11648,Kulgera Airport,AU,,AU-NT,Kulgera,KGR,"133.29200744628906, -25.84280014038086"
11649,Miranda Downs Airport,AU,,AU-QLD,Miranda Downs,MWY,"141.886002, -17.328899"
11650,Camballin Airport,AU,,AU-WA,Myroodah,MYO,"124.27200317382812, -18.12470054626465"
11651,Orchid Beach Airport,AU,71.0,AU-QLD,Orchid Beach,OKB,"153.31500244141, -24.959400177002"
11652,Peppimenarti Airport,AU,83.0,AU-NT,Peppimenarti,PEP,"130.091003418, -14.144200325"
11653,Rockhampton Downs Airport,AU,,AU-NT,Rockhampton Downs,RDA,"135.2010040283203, -18.95330047607422"
11654,Sturt Creek Airport,AU,,AU-WA,Sturt Creek,SSK,"128.1739959716797, -19.166400909423828"
11655,Shaw River Airport,AU,,AU-WA,Shaw River,SWB,"119.36199951171875, -21.510299682617188"
11656,Tom Price Airport,AU,2300.0,AU-WA,Tom Price,TPR,"117.869003296, -22.746000289900003"
11657,Torwood Airport,AU,,AU-QLD,Torwood,TWP,"143.75, -17.363300323486328"
11658,Springvale Airport,AU,,AU-WA,Springvale,ZVG,"127.66999816894531, -17.78689956665039"
11659,Aua Island Airport,PG,4.0,PG-MRL,Aua Island,AUI,"143.064722222, -1.46055555556"
11660,Ambunti Airport,PG,50.0,PG-ESW,Ambunti,AUJ,"142.823166667, -4.21566666667"
11661,Agaun Airport,PG,3200.0,PG-MBA,,AUP,"149.385667, -9.930833"
11662,Austin Robert Mueller Municipal,US,,US-TX,,AUS,"-97.6997852325, 30.2987223546"
11663,Aumo Airport,PG,450.0,PG-WBK,Aumo,AUV,"148.445277778, -5.731111111110001"
11664,Alowe Airport,GA,600.0,GA-3,Wonga WonguÃ© Presidential Reserve,AWE,"9.444, -0.545"
11665,Awar Airport,PG,35.0,PG-MPM,Awar,AWR,"144.853, -4.124"
11666,Alxa Left Banner Bayanhot Airport,CN,4560.0,CN-15,Bayanhot,AXF,"105.58858, 38.74831"
11667,Kompiam Airport,PG,5100.0,PG-EPW,,KPM,"143.924722222, -5.38166666667"
11670,Buka Airport,PG,11.0,PG-NSB,Buka Island,BUA,"154.67300415039062, -5.4223198890686035"
11671,Biaru Airport,PG,4900.0,PG-MPL,Biaru,BRP,"146.7594, -7.6693"
11677,Chimbu Airport,PG,4974.0,PG-CPK,Kundiawa,CMU,"144.9709930419922, -6.024290084838867"
11679,Munduku Airport,PG,100.0,PG-ESW,Munduku,MDM,"143.4516, -4.6204"
11680,Kondobol Airport,PG,132.0,PG-WPD,Kondobol,KPF,"142.5049, -8.5336"
11681,Dinangat Airport,PG,5309.0,PG-MPL,Dinangat,DNU,"146.6772, -6.1546"
11682,Doini Airport,PG,31.0,PG-MBA,Castori Islets,DOI,"150.7218, -10.7009"
11686,Daru Airport,PG,20.0,PG-WPD,Daru,DAU,"143.207992554, -9.08675956726"
11689,Embessa Airport,PG,131.0,PG-NPP,Embessa,EMS,"148.7628, -9.447"
11690,Edwaki Airport,PG,190.0,PG-SAN,Yellow River Mission,XYR,"141.792234, -3.883986"
11694,Eliptamin Airport,PG,4825.0,PG-SAN,Eliptamin,EPT,"141.6779, -5.0412"
11696,Engati Airstrip,PG,3715.0,PG-MPL,Engati,EGA,"146.1053, -6.9179"
11697,Emo River Airstrip,PG,2240.0,PG-NPP,Emo Mission,EMO,"148.0415, -9.1234"
11698,Erume Airport,PG,6690.0,PG-CPM,Erume,ERU,"146.9747, -8.2538"
11699,Meselia Airport,PG,180.0,PG-WBK,Demgulu,MFZ,"149.1183, -6.1364"
11702,Feramin Airport,PG,4655.0,PG-SAN,Feramin,FRQ,"141.6988, -5.208"
11705,Frieda River Airport,PG,217.0,PG-ESW,Frieda River,FAQ,"141.960138, -4.610468"
11707,Fuma Airport,PG,466.0,PG-WPD,Fuma,FUM,"142.4408, -6.3933"
11709,Goroka Airport,PG,5282.0,PG-EHG,Goronka,GKA,"145.391998291, -6.081689834590001"
11712,Guari Airport,PG,6450.0,PG-CPM,Guari,GUG,"146.8722, -8.1286"
11713,Garasa Airport,PG,2539.0,PG-MPL,Au,GRL,"147.213461, -7.980713"
11716,Gurney Airport,PG,88.0,PG-MBA,Gurney,GUR,"150.333999634, -10.3114995956"
11718,Gusap Airport,PG,1504.0,PG-GPK,Gusap,GAP,"145.959047, -6.053196"
11720,Girua Airport,PG,311.0,PG-NPP,Popondetta,PNP,"148.309005737, -8.80453968048"
11721,Gasuke Airport,PG,157.0,PG-WPD,Gasuke,GBC,"141.7393, -6.1028"
11725,Habi Airport,PG,993.0,PG-WPD,Habi,HBD,"142.4893, -6.32"
11726,Heiweni Airport,PG,3480.0,PG-MPL,Heiweni,HNI,"146.4276, -7.4223"
11727,Honinabi Airport,PG,452.0,PG-WPD,Honinabi,HNN,"142.1771, -16.2457"
11729,Kimbe Airport,PG,66.0,PG-WBK,Hoskins,HKN,"150.40499877929688, -5.462170124053955"
11732,Haivaro Airport,PG,180.0,PG-GPK,Haivaro,HIT,"143.059, -6.9406"
11739,Imane Airport,PG,3860.0,PG-MPL,Imane,IMN,"146.1072, -6.7524"
11740,Kungim Airport,PG,349.0,PG-WPD,Kungim,KGM,"141.03, -5.671"
11742,Imonda Airport,PG,990.0,PG-SAN,Imonda,IMD,"141.1573, -3.328"
11747,Ialibu Airport,PG,6736.0,PG-SHM,Ialibu,IAL,"143.9944, -6.2782"
11748,Witu Airport,PG,25.0,PG-WBK,Garove Island,WIU,"149.440112, -4.689522"
11750,Yongai Airport,PG,6500.0,PG-CPM,Yongai,KGH,"147.4603, -8.5289"
11751,Losuia Airport,PG,27.0,PG-MBA,Losuia,LSA,"151.08099365234375, -8.505820274353027"
11752,Kopiago Airport,PG,4445.0,PG-HE,Kopiago,KPA,"142.4977, -5.3883"
11753,Kiunga Airport,PG,88.0,PG-WPD,Kiunga,UNG,"141.28199768066406, -6.1257100105285645"
11754,Kanainj Airport,PG,4064.0,PG-MPM,Kanainj,KNE,"144.7072, -5.2903"
11755,Kikori Airport,PG,50.0,PG-GPK,Kikori,KRI,"144.2500762939453, -7.424379825592041"
11757,Kerema Airport,PG,10.0,PG-GPK,Kerema,KMA,"145.770996094, -7.96361017227"
11759,Kar Kar Airport,PG,130.0,PG-MPM,Kar Kar Island,KRX,"145.9404, -4.557"
11760,Aropa Airport,PG,20.0,PG-NSB,Kieta,KIE,"155.728139, -6.305417"
11761,Kuri Airport,PG,35.0,PG-GPK,Kuri,KUQ,"143.276111, -7.135083"
11762,Kavieng Airport,PG,7.0,PG-NIK,Kavieng,KVG,"150.807998657, -2.57940006256"
11763,Londolovit Airport,PG,167.0,PG-NIK,Londolovit,LNV,"152.628997803, -3.04361009598"
11766,Lab Lab Airport,PG,160.0,PG-MPL,Lab Lab Mission,LAB,"148.0566, -5.7204"
11770,Lowai Airport,PG,2900.0,PG-MPL,Lowai,LWI,"146.6458, -6.3344"
11771,Leron Plains Airport,PG,680.0,PG-MPL,Leron Plains,LPN,"146.3434, -6.3917"
11773,Lese Airport,PG,40.0,PG-GPK,Lese,LNG,"146.2765, -8.2799"
11774,Long Island Airport,PG,116.0,PG-MPM,Long Island,LSJ,"147.0177, -5.3604"
11776,Yas Island Seaplane Base,AE,0.0,AE-AZ,Abu Dhabi,AYM,"54.6103, 24.467"
11777,Manari Airport,PG,2630.0,PG-NPP,Manari,MRM,"147.6219, -9.1908"
11778,Morobe Airport,PG,8.0,PG-MPL,Morobe,OBM,"147.59, -7.74"
11779,Madang Airport,PG,20.0,PG-MPM,Madang,MAG,"145.789001465, -5.20707988739"
11780,Mount Hagen Kagamuga Airport,PG,5388.0,PG-WHM,Mount Hagen,HGU,"144.29600524902344, -5.826789855957031"
11782,Mougulu Airport,PG,825.0,PG-WPD,Mougulu,GUV,"142.420775, -6.280859"
11783,Mendi Airport,PG,5680.0,PG-SHM,Mendi,MDU,"143.656998, -6.14774"
11784,Momote Airport,PG,12.0,PG-MRL,Manus Island,MAS,"147.423996, -2.06189"
